"","Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Tree.Feed","Out.SubInd","PrName","TID","T.Descrip","MeanT","VarianceT"
"280","NN0179","10.1016/s0301-6226(02)00035-0","South Africa","UKZN Ukilinga Research Farm, Pietermaritzburg","T1","Diet 1","NA","kg/individual",29.6,"Vachellia sieberiana","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4..T5","Diet 2..Diet 3..Diet 4..Diet 5",31.175,NA
"281","NN0188","https://doi.org/10.1016/0377-8401(92)90062-B","Ethiopia","ILRI, Debre Zeit","T1","Diet 0","NA","kg/d/individual",6.48,"Sesbania sesban","Milk Yield","Feed Substitution","T3..T4..T2","Diet 33..Diet 66..Diet 100",5.17,NA
"282","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","g/d/individual",29.2,"Acacia angustissima","Weight Gain","Feed Substitution","T1","A. angustissima 15132",13,NA
"283","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","g/d/individual",29.2,"Acacia angustissima;Sesbania sesban","Weight Gain","Feed Substitution","T5..T7","SS 1198 + AA 15132..SS 15019 + AA 15132",36.05,NA
"284","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","g/d/individual",29.2,"Leucaena pallida","Weight Gain","Feed Substitution","T2","L. pallida 14203",27.8,NA
"285","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","g/d/individual",29.2,"Leucaena pallida;Sesbania sesban","Weight Gain","Feed Substitution","T6..T8","SS 1198 + LP 14203..SS 15019 + LP 14203",37.7,NA
"286","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","g/d/individual",29.2,"Sesbania sesban","Weight Gain","Feed Substitution","T3..T4","S. sesban 1198..S. sesban 15019",34.55,NA
"287","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","kg",19.3,"Acacia angustissima","Meat Yield","Feed Substitution","T1","A. angustissima 15132",17.6,NA
"288","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","kg",19.3,"Acacia angustissima;Sesbania sesban","Meat Yield","Feed Substitution","T5..T7","SS 1198 + AA 15132..SS 15019 + AA 15132",20.2,NA
"289","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","kg",19.3,"Leucaena pallida","Meat Yield","Feed Substitution","T2","L. pallida 14203",19.5,NA
"290","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","kg",19.3,"Leucaena pallida;Sesbania sesban","Meat Yield","Feed Substitution","T6..T8","SS 1198 + LP 14203..SS 15019 + LP 14203",20.7,NA
"291","NN0196","10.1016/j.livprodsci.2004.01.003","Ethiopia","ILRI, Debre Zeit","T9","Wheat bran (control)","NA","kg",19.3,"Sesbania sesban","Meat Yield","Feed Substitution","T3..T4","S. sesban 1198..S. sesban 15019",19.95,NA
"292","NN0197","10.1016/j.anifeedsci.2003.11.003","Ethiopia","ILRI, Debre Zeit","T1","LAB","NA","g/d/individual",17.74,"Leucaena pallida","Weight Gain","Feed Substitution","T2..T3..T4","LP1..LP2..LP3",18.1833333333333,NA
"293","NN0197","10.1016/j.anifeedsci.2003.11.003","Ethiopia","ILRI, Debre Zeit","T1","LAB","NA","g/d/individual",17.74,"Sesbania sesban","Weight Gain","Feed Substitution","T5..T6","SS1..SS2",18.07,NA
"294","NN0197","10.1016/j.anifeedsci.2003.11.003","Ethiopia","ILRI, Debre Zeit","T1","LAB","NA","g/d/individual",22.31,"Leucaena pallida","Weight Gain","Feed Substitution","T2..T3..T4","LP1..LP2..LP3",24.7533333333333,NA
"295","NN0197","10.1016/j.anifeedsci.2003.11.003","Ethiopia","ILRI, Debre Zeit","T1","LAB","NA","g/d/individual",22.31,"Sesbania sesban","Weight Gain","Feed Substitution","T5..T6","SS1..SS2",25.575,NA
"296","NN0198","10.1016/j.livsci.2013.08.012","Ethiopia","Hawassa University, Hawassa","T1","T CON","NA","g/d/individual",8.71,"Moringa stenopetala","Weight Gain","Feed Substitution","T2..T3..T4..T5","T MLM T2..T MLM T3..T MLM T4..T MLM T5",10.3825,NA
"297","NN0198","10.1016/j.livsci.2013.08.012","Ethiopia","Hawassa University, Hawassa","T1","T CON","NA","g/individual",545,"Moringa stenopetala","Meat Yield","Feed Substitution","T2..T3..T4..T5","T MLM T2..T MLM T3..T MLM T4..T MLM T5",709,NA
"298","NN0198","10.1016/j.livsci.2013.08.012","Ethiopia","Hawassa University, Hawassa","T1","T CON","NA","g/individual",880,"Moringa stenopetala","Meat Yield","Feed Substitution","T2..T3..T4..T5","T MLM T2..T MLM T3..T MLM T4..T MLM T5",1033.5,NA
"299","NN0198","10.1016/j.livsci.2013.08.012","Ethiopia","Hawassa University, Hawassa","T1","T CON","NA","g/individual",920,"Moringa stenopetala","Meat Yield","Feed Substitution","T2..T3..T4..T5","T MLM T2..T MLM T3..T MLM T4..T MLM T5",1140,NA
"300","NN0202","10.1016/s0377-8401(96)01048-6","Ethiopia","ILRI, Debre Zeit","T1","CON","NA","g/d/individual",-19.9,"Leucaena leucocephala","Weight Gain","Feed Addition","T3","LEU",37.8,NA
"301","NN0202","10.1016/s0377-8401(96)01048-6","Ethiopia","ILRI, Debre Zeit","T1","CON","NA","g/d/individual",-19.9,"Sesbania sesban","Weight Gain","Feed Addition","T5..T4..T6","SESM..SESE..SESME",36.9333333333333,NA
"302","NN0202","10.1016/s0377-8401(96)01048-6","Ethiopia","ILRI, Debre Zeit","T1","CON","NA","kg/individual",16.88,"Leucaena leucocephala","Meat Yield","Feed Addition","T3","LEU",21.2,NA
"303","NN0202","10.1016/s0377-8401(96)01048-6","Ethiopia","ILRI, Debre Zeit","T1","CON","NA","kg/individual",16.88,"Sesbania sesban","Meat Yield","Feed Addition","T5..T4..T6","SESM..SESE..SESME",21.2833333333333,NA
"304","NN0214","10.1017/S0003356100005225","Ethiopia","International Livestock Centre for Africa","T5","Noug Meal Treatment","NA","g/d/individual",32,"Faidherbia albida","Weight Gain","Feed Substitution","T1","Acacia albida Treatment",21,NA
"305","NN0214","10.1017/S0003356100005225","Ethiopia","International Livestock Centre for Africa","T5","Noug Meal Treatment","NA","g/d/individual",32,"Vachellia nilotica","Weight Gain","Feed Substitution","T2","Acacia nilotica Treatment",16,NA
"306","NN0214","10.1017/S0003356100005225","Ethiopia","International Livestock Centre for Africa","T5","Noug Meal Treatment","NA","g/d/individual",32,"Vachellia sieberiana","Weight Gain","Feed Substitution","T3","Acacia sieberiana Treatment",4,NA
"307","NN0214","10.1017/S0003356100005225","Ethiopia","International Livestock Centre for Africa","T5","Noug Meal Treatment","NA","g/d/individual",32,"Vachellia tortilis","Weight Gain","Feed Substitution","T4","Acacia tortilis Treatment",32,NA
"308","NN0217","10.1016/j.smallrumres.2006.10.004","Ethiopia","Mekelle University","T1","T1","NA","g/d/individual",11,"Opuntia ficus indica","Weight Gain","Feed Addition","T2..T3..T4..T5","T2..T3..T4..T5",21.5,NA
"309","NN0217","10.1016/j.smallrumres.2006.10.004","Ethiopia","Mekelle University","T1","T1","NA","kg",21,"Opuntia ficus indica","Meat Yield","Feed Addition","T2..T3..T4..T5","T2..T3..T4..T5",21.5,NA
"310","NN0233","10.1016/j.livsci.2008.02.007","Ethiopia","Agbe Goat Research Station, Tembien","T1","T1","NA","g/d/individual",-16.7,"Acacia etbaica","Weight Gain","Feed Addition","T2..T3..T4","T2..T3..T4",7.5,NA
"311","NN0233","10.1016/j.livsci.2008.02.007","Ethiopia","Agbe Goat Research Station, Tembien","T1","T1","NA","g/d/individual",-16.7,"Dichrostachys cinerea","Weight Gain","Feed Addition","T5..T6..T7","T5..T6..T7",15.8333333333333,NA
"312","NN0233","10.1016/j.livsci.2008.02.007","Ethiopia","Agbe Goat Research Station, Tembien","T1","T1","NA","kg",18.5,"Acacia etbaica","Meat Yield","Feed Addition","T2..T3..T4","T2..T3..T4",21.3666666666667,NA
"313","NN0233","10.1016/j.livsci.2008.02.007","Ethiopia","Agbe Goat Research Station, Tembien","T1","T1","NA","kg",18.5,"Dichrostachys cinerea","Meat Yield","Feed Addition","T5..T6..T7","T5..T6..T7",22.2,NA
"314","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T1","T1","NA","g/d/individual",11.8,"Erythrina brucei","Weight Gain","Feed Addition","T5","T5",38,NA
"315","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T1","T1","NA","kgt/individual",5.7,"Erythrina brucei","Meat Yield","Feed Addition","T5","T5",7.1,NA
"316","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T1","T1","NA","kgt/individual",11.3,"Erythrina brucei","Meat Yield","Feed Addition","T5","T5",13.3,NA
"317","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T1","T1","NA","kgt/individual",16,"Erythrina brucei","Meat Yield","Feed Addition","T5","T5",19.2,NA
"318","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T1","T1","NA","kgt/individual",16.1,"Erythrina brucei","Meat Yield","Feed Addition","T5","T5",18.4,NA
"319","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T2","T2","NA","g/d/individual",51.5,"Erythrina brucei","Weight Gain","Feed Addition","T3..T4","T3..T4",48.5,NA
"320","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T2","T2","NA","kgt/individual",8.8,"Erythrina brucei","Meat Yield","Feed Addition","T3..T4","T3..T4",8.15,NA
"321","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T2","T2","NA","kgt/individual",15.2,"Erythrina brucei","Meat Yield","Feed Addition","T3..T4","T3..T4",14.95,NA
"322","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T2","T2","NA","kgt/individual",19.8,"Erythrina brucei","Meat Yield","Feed Addition","T3..T4","T3..T4",19.9,NA
"323","NN0236","10.1007/s11250-011-9916-z","Ethiopia","ATVET College, Dilla","T2","T2","NA","kgt/individual",20,"Erythrina brucei","Meat Yield","Feed Addition","T3..T4","T3..T4",19.5,NA
"324","NN0251","10.5713/ajas.2006.992","Kenya","Bukura Agricultural College","T1","T CON","NA","g/d/individual",-15.1,"Tithonia diversifolia","Weight Gain","Feed Addition","T3..T5..T4..T2","T TEN..T TWENTY..T THIRTY..T FORTY",28.6,NA
"325","NN0276.1","https://www.researchgate.net/publication/289652441_Effect_of_Feed_Supplements_on_Weight_Gain_and_Carcass_Characteristics_of_Intact_Male_Mubende_Goats_Fed_Elephant_Grass_Pennisetum_purpureum_ad_libitum_in_Uganda","Uganda","Makerere University Agricultural Research Institute, Kabanyolo","T2","Control","NA","kg/individual",-0.6,"Leucaena leucocephala","Weight Gain","Feed Addition","T4","LL",-0.7,NA
"326","NN0276.1","https://www.researchgate.net/publication/289652441_Effect_of_Feed_Supplements_on_Weight_Gain_and_Carcass_Characteristics_of_Intact_Male_Mubende_Goats_Fed_Elephant_Grass_Pennisetum_purpureum_ad_libitum_in_Uganda","Uganda","Makerere University Agricultural Research Institute, Kabanyolo","T2","Control","NA","kg/individual",5.6,"Leucaena leucocephala","Meat Yield","Feed Addition","T4","LL",6.6,NA
"327","NN0276.1","https://www.researchgate.net/publication/289652441_Effect_of_Feed_Supplements_on_Weight_Gain_and_Carcass_Characteristics_of_Intact_Male_Mubende_Goats_Fed_Elephant_Grass_Pennisetum_purpureum_ad_libitum_in_Uganda","Uganda","Makerere University Agricultural Research Institute, Kabanyolo","T2","Control","NA","kg/individual",10.4,"Leucaena leucocephala","Meat Yield","Feed Addition","T4","LL",11.6,NA
"328","NN0276.2","https://www.researchgate.net/publication/289580691_Growth_Performance_and_Feed_Utilization_by_Intact_Male_Mubende_Goats_Fed_Various_Supplements_with_Elephant_Grass_Pennisetum_purpureum_as_Basal_Diet_in_Uganda","Uganda","Makerere University Agricultural Research Institute, Kabanyolo","T3","Elephant grass T5","NA","g/d/individual",-3.1,"Leucaena leucocephala","Weight Gain","Feed Addition","T4","Leucana leaves T2",-3.1,NA
"329","NN0279","10.1023/A:1006097902270","Uganda","Makerere University Agricultural Research Institute, Kabanyolo","T1","T1","NA","g/d/individual",17.86,"Gliciridia sepium","Weight Gain","Feed Addition","T2..T3..T4","T2..T3..T4",80.36,NA
"330","NN0299","10.1007/s11250-010-9656-5","Zimbabwe","Henderson RS","T1","Control","NA","kg/individual",12.1,"Adansonia digitata","Milk Yield","Feed Substitution","T2..T3..T4","T1..T2..T3",8.88666666666667,NA
"331","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g",720.22,"Adansonia digitata","Meat Yield","Feed Substitution","T2..T3..T4","T2 5% BSOC..T3 10% BSOC..T4 10% BSOC",976,NA
"332","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g",1230,"Adansonia digitata","Meat Yield","Feed Substitution","T2..T4","T2 5% BSOC..T4 10% BSOC",1059.685,NA
"333","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g",1266.89,"Adansonia digitata","Meat Yield","Feed Substitution","T2..T3..T4","T2 5% BSOC..T3 10% BSOC..T4 10% BSOC",976,NA
"334","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g",1676,"Adansonia digitata","Meat Yield","Feed Substitution","T2..T3..T4","T2 5% BSOC..T3 10% BSOC..T4 10% BSOC",1486.88666666667,NA
"335","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g/d/individual",32.4866666666667,"Adansonia digitata","Weight Gain","Feed Substitution","T2..T3..T4","T2 5% BSOC..T3 10% BSOC..T4 10% BSOC",31.9514285714286,NA
"336","NN0321","10.4314/sajas.v48i2.9","South Africa","ARC Irene","T1","T1 0% BSOC","NA","g/d/individual",43.6032142857143,"Adansonia digitata","Weight Gain","Feed Substitution","T2..T3..T4","T2 5% BSOC..T3 10% BSOC..T4 10% BSOC",42.2921428571429,NA
"337","NN0345","10.1007/s11250-014-0605-6","Ethiopia","Jimma University College of Agriculture and Veterinary Medicine","T2","T N.HAY","NA","g/d/individual",3,"Albizia gummifera","Weight Gain","Feed Addition","T1","T AG",14,NA
"338","NN0345","10.1007/s11250-014-0605-6","Ethiopia","Jimma University College of Agriculture and Veterinary Medicine","T2","T N.HAY","NA","kg/individual",13.55,"Albizia gummifera","Meat Yield","Feed Addition","T1","T AG",14.3,NA
"339","NN0358","10.1111/anu.12424","Egypt","Alexandria University","T1","T JSM D1","NA","g/d/individual",0.345,"Jatropha curcas","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4..T5..T6..T7","T JSM D2..T JSM D3..T JSM D4..T JSM D5..T JSM D6..T JSM D7",0.325496031746032,NA
"340","NN0358","10.1111/anu.12424","Egypt","Alexandria University","T1","T JSM D1","NA","g/individual",33.58,"Jatropha curcas","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4..T5..T6..T7","T JSM D2..T JSM D3..T JSM D4..T JSM D5..T JSM D6..T JSM D7",31.9633333333333,NA
"341","NN0361","10.1016/j.anifeedsci.2016.04.012","Egypt","Behera","T1","Control","NA","g/d/individual",800,"Moringa oleifera","Milk Yield","Feed Processing-Feed Substitution","T4","Silage",990,NA
"342","NN0361","10.1016/j.anifeedsci.2016.04.012","Egypt","Behera","T1","Control","NA","g/d/individual",800,"Moringa oleifera","Milk Yield","Feed Substitution","T2..T3","Fresh..Hay",922.5,NA
"343","NN0362","10.1016/j.smallrumres.2015.05.007","Egypt","Behera","T1","T1","NA","g/d/individual",818.6,"Moringa oleifera","Milk Yield","Feed Substitution","T2..T3..T4","T2..T3..T4",917.133333333333,NA
"344","NN0368","10.1016/j.smallrumres.2017.10.014","Egypt","NRC, Dokki, Cairo","T1","Control","NA","g/d/individual",-6.3,"Moringa oleifera","Weight Gain","Feed Addition-Feed Processing","T2..T3..T4","T1..T2..T3",-5.73333333333333,NA
"345","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","g/d/individual",20,"Acacia senegal","Weight Gain","Feed Addition","T1","TDA.S",45.6,NA
"346","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","g/d/individual",20,"Acacia senegal;Azadirachta indica","Weight Gain","Feed Addition","T3","TDMixture",43.3,NA
"347","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","g/d/individual",20,"Azadirachta indica","Weight Gain","Feed Addition","T4","TDN.T",35.6,NA
"348","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",4.9,"Acacia senegal","Meat Yield","Feed Addition","T1","TDA.S",8.3,NA
"349","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",4.9,"Acacia senegal;Azadirachta indica","Meat Yield","Feed Addition","T3","TDMixture",6.5,NA
"350","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",4.9,"Azadirachta indica","Meat Yield","Feed Addition","T4","TDN.T",6.8,NA
"351","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",12.3,"Acacia senegal","Meat Yield","Feed Addition","T1","TDA.S",16,NA
"352","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",12.3,"Acacia senegal;Azadirachta indica","Meat Yield","Feed Addition","T3","TDMixture",14,NA
"353","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",12.3,"Azadirachta indica","Meat Yield","Feed Addition","T4","TDN.T",13.9,NA
"354","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17,"Acacia senegal","Meat Yield","Feed Addition","T1","TDA.S",20.3,NA
"355","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17,"Acacia senegal;Azadirachta indica","Meat Yield","Feed Addition","T3","TDMixture",18.8,NA
"356","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17,"Azadirachta indica","Meat Yield","Feed Addition","T4","TDN.T",18.8,NA
"357","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17.9,"Acacia senegal","Meat Yield","Feed Addition","T1","TDA.S",21.2,NA
"358","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17.9,"Acacia senegal;Azadirachta indica","Meat Yield","Feed Addition","T3","TDMixture",19.8,NA
"359","NN0372","10.1007/s11250-015-0953-x","Ethiopia","Haramaya University","T2","TDHay","NA","kg/individual",17.9,"Azadirachta indica","Meat Yield","Feed Addition","T4","TDN.T",19.3,NA
"360","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","g/d/individual",-0.95,"Afzelia africana","Weight Gain","Feed Addition","T4","T D4",41.1,NA
"361","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","g/d/individual",-0.95,"Annona senegalensis","Weight Gain","Feed Addition","T6","T D6",29.2,NA
"362","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","g/d/individual",-0.95,"Daniellia oliveri","Weight Gain","Feed Addition","T3","T D3",30,NA
"363","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","g/d/individual",-0.95,"Piliostigma thonningii","Weight Gain","Feed Addition","T2","T D2",31.5,NA
"364","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","g/d/individual",-0.95,"Psophocarpus scandens","Weight Gain","Feed Addition","T5","T D5",34.5,NA
"365","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","kg/individual",7.92,"Afzelia africana","Meat Yield","Feed Addition","T4","T D4",11.5,NA
"366","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","kg/individual",7.92,"Annona senegalensis","Meat Yield","Feed Addition","T6","T D6",10.5,NA
"367","NN0394","10.1007/s11250-015-0823-6","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T CON","NA","kg/individual",7.92,"Daniellia oliveri","Meat Yield","Feed Addition","T3","T D3",10.5,NA
